"","period","month","Month","day","year","plot","stake","treatment","species","sex","reprod","vagina","nipples","lactation","pregnant","testes","hfl","wgt","tag"
"4098",254,"4","Apr",17,1999,12,63,"control","DM","M",NA,NA,NA,NA,NA,"R",37,47,"478"
"4099",254,"4","Apr",17,1999,17,11,"control","DM","M",NA,NA,NA,NA,NA,"S",36,42,"0200DM"
"4100",254,"4","Apr",17,1999,17,57,"control","DM","M",NA,NA,NA,NA,NA,"R",37,43,"8102DM"
"4101",254,"4","Apr",18,1999,4,71,"control","DM","M",NA,NA,NA,NA,NA,"R",38,47,"485"
"4102",254,"4","Apr",18,1999,9,34,"spectabs","DM","M",NA,NA,NA,NA,NA,"R",35,42,"443"
"4103",254,"4","Apr",18,1999,9,77,"spectabs","DM","M",NA,NA,NA,NA,NA,"S",39,45,"189"
"4104",254,"4","Apr",18,1999,13,64,"exclosure","DM","M",NA,NA,NA,NA,NA,"S",38,49,"151"
"4105",255,"5","May",15,1999,22,41,"control","DM","M","Z",NA,NA,NA,NA,"R",35,37,"89"
"4106",255,"5","May",15,1999,22,35,"control","DM","M",NA,NA,NA,NA,NA,"S",37,51,"464"
"4107",255,"5","May",15,1999,22,12,"control","DM","M",NA,NA,NA,NA,NA,"R",37,47,"7031DM"
"4108",256,"6","Jun",12,1999,1,35,"spectabs","DM","M",NA,NA,NA,NA,NA,"R",37,49,"551"
"4109",256,"6","Jun",13,1999,9,11,"spectabs","DM","M",NA,NA,NA,NA,NA,"S",37,43,"414"
"4110",258,"10","Oct",10,1999,9,41,"spectabs","DM","M",NA,NA,NA,NA,NA,"R",35,51,"463"
"4111",258,"10","Oct",10,1999,9,47,"spectabs","DM","M",NA,NA,NA,NA,NA,"S",36,51,"443"
"4112",259,"11","Nov",6,1999,17,33,"control","DM","M",NA,NA,NA,NA,NA,"R",38,49,"553"
"4113",259,"11","Nov",7,1999,11,75,"control","DM","M",NA,NA,NA,NA,NA,"R",36,51,"560"
